tier,layout,resolution,width_px,height_px,distance_m,px_per_cm,body_frame_height_pct,body_margin_score,neighbor_parallax_score,dof_near_m,dof_far_m,acceptable_focus_pass,critical_near_m,critical_far_m,critical_sharpness_score,focus_box_confidence_score,eye_plane_confidence_score,rig_lighting_interference_score,splatability_score,production_feasibility_score,verdict,notes
Premium,Premium 36-Camera Dense Ring,6K 16:9,6144,3456,4,13.638,71.053,97.916,84,2.26,17.355,true,3.12,4.88,100,99.792,100,80,96.166,83.617,safe,"strong projected subject detail; body fill has usable motion margin"
Premium,Premium 36-Camera Dense Ring,6K 16:9,6144,3456,3.8,14.356,74.792,93.857,84,2.196,14.117,true,2.964,4.636,100,99.386,100,72,95.399,79.516,safe,"strong projected subject detail; body fill has usable motion margin"
Premium,Premium 36-Camera Dense Ring,5K 16:9,5120,2880,3.8,11.963,74.792,93.857,84,2.196,14.117,true,3.048,4.552,96.4,96.026,88,72,89.75,78.777,safe,"projected detail is likely viable but should be solve-tested; body fill has usable motion margin"
Premium,Premium 36-Camera Dense Ring,6K 16:9,6144,3456,3.5,15.586,81.203,79.753,84,2.092,10.695,true,2.73,4.27,100,97.975,100,56,92.733,69.985,solve_test_recommended,"strong projected subject detail; body fill has usable motion margin; closer distance raises rig, stand, truss, and lighting-interference risk at T5.6 / 90° / ISO 800; export synthetic stills and verify with a quick gsplat solve before committing"
Premium,Premium 36-Camera Dense Ring,5K 16:9,5120,2880,4,11.365,71.053,97.916,84,2.26,17.355,true,3.208,4.792,96.4,96.432,88,80,87.626,82.878,solve_test_recommended,"projected detail is likely viable but should be solve-tested; body fill has usable motion margin; export synthetic stills and verify with a quick gsplat solve before committing"
Premium,Premium 36-Camera Dense Ring,5K 16:9,5120,2880,3.5,12.989,81.203,79.753,84,2.092,10.695,true,2.807,4.193,94.08,92.703,98,56,91.677,68.825,solve_test_recommended,"strong projected subject detail; body fill has usable motion margin; closer distance raises rig, stand, truss, and lighting-interference risk at T5.6 / 90° / ISO 800; export synthetic stills and verify with a quick gsplat solve before committing"
Premium,Premium 36-Camera Dense Ring,6K 16:9,6144,3456,4.5,12.123,63.158,80.547,76,2.411,33.655,true,3.55,5.45,100,98.055,100,84,87.284,81.362,solve_test_recommended,"strong projected subject detail; body fill has usable motion margin; export synthetic stills and verify with a quick gsplat solve before committing"
Premium,Premium 36-Camera Dense Ring,6K 16:9,6144,3456,5,10.911,56.842,66.653,76,2.547,135.359,true,4.05,5.95,97,93.865,90,84,78.266,77.661,solve_test_recommended,"projected detail is likely viable but should be solve-tested; body fill has usable motion margin; export synthetic stills and verify with a quick gsplat solve before committing"
Premium,Premium 36-Camera Dense Ring,5K 16:9,5120,2880,4.5,10.102,63.158,80.547,76,2.411,33.655,true,3.609,5.391,96.4,94.695,88,84,76.88,80.622,solve_test_recommended,"projected detail is likely viable but should be solve-tested; body fill has usable motion margin; export synthetic stills and verify with a quick gsplat solve before committing"
Premium,Premium 36-Camera Dense Ring,4K 16:9,4096,2304,4,9.092,71.053,97.916,84,2.26,17.355,true,3.314,4.686,85.664,86.694,72,80,74.789,80.736,not_preferred,"projected detail is likely viable but should be solve-tested; body fill has usable motion margin"
Premium,Premium 36-Camera Dense Ring,4K 16:9,4096,2304,3.8,9.571,74.792,93.857,84,2.196,14.117,true,3.148,4.452,82.461,83.451,72,72,75.796,76.011,not_preferred,"projected detail is likely viable but should be solve-tested; body fill has usable motion margin"
Premium,Premium 36-Camera Dense Ring,6K 16:9,6144,3456,3,18.184,94.737,31.979,92,1.904,7.075,true,2.34,3.66,91.6,85.758,100,40,83.65,51.343,splat_viable_but_production_risky,"strong projected subject detail; tight body margin; hands/feet/action may clip; closer distance raises rig, stand, truss, and lighting-interference risk at T5.6 / 90° / ISO 800; splat viability depends on production tradeoffs; test before committing"
Premium,Premium 36-Camera Dense Ring,4K 16:9,4096,2304,3.5,10.391,81.203,79.753,84,2.092,10.695,true,2.899,4.101,81.256,81.145,84,56,76.925,66.283,splat_viable_but_production_risky,"projected detail is likely viable but should be solve-tested; body fill has usable motion margin; closer distance raises rig, stand, truss, and lighting-interference risk at T5.6 / 90° / ISO 800; splat viability depends on production tradeoffs; test before committing"
Premium,Premium 36-Camera Dense Ring,5K 16:9,5120,2880,3,15.154,94.737,31.979,92,1.904,7.075,true,2.406,3.594,84.84,79.742,98,40,82.507,50.019,splat_viable_but_production_risky,"strong projected subject detail; tight body margin; hands/feet/action may clip; closer distance raises rig, stand, truss, and lighting-interference risk at T5.6 / 90° / ISO 800; splat viability depends on production tradeoffs; test before committing"
Premium,Premium 36-Camera Dense Ring,5K 16:9,5120,2880,5,9.092,56.842,66.653,76,2.547,135.359,true,4.05,5.95,92.8,89.945,76,84,68.732,76.798,not_preferred,"projected detail is likely viable but should be solve-tested; body fill has usable motion margin"
Premium,Premium 36-Camera Dense Ring,4K 16:9,4096,2304,3,12.123,94.737,31.979,92,1.904,7.075,true,2.485,3.515,76.248,72.075,94,40,76.811,48.332,splat_viable_but_production_risky,"strong projected subject detail; tight body margin; hands/feet/action may clip; critical sharpness zone is narrower than the taped focus box; closer distance raises rig, stand, truss, and lighting-interference risk at T5.6 / 90° / ISO 800; splat viability depends on production tradeoffs; test before committing"
Premium,Premium 36-Camera Dense Ring,4K 16:9,4096,2304,4.5,8.082,63.158,80.547,76,2.411,33.655,true,3.728,5.272,85.6,84.615,52,84,65.199,78.405,not_preferred,"projected detail is the limiting factor; body fill has usable motion margin; 4K becomes marginal at this distance unless the subject is larger in frame"
Premium,Premium 36-Camera Dense Ring,4K 16:9,4096,2304,5,7.274,56.842,66.653,76,2.547,135.359,true,4.142,5.858,85.6,83.225,52,84,58.667,75.32,not_preferred,"projected detail is the limiting factor; body fill has usable motion margin; 4K becomes marginal at this distance unless the subject is larger in frame"
